범죄대분류,범죄중분류,생활정도(하류),생활정도(중류),생활정도(상류),생활정도(미상),혼인관계(유배우자),혼인관계(동거),혼인관계(이혼),혼인관계(사별),미혼자부모관계(실(양)부모),미혼자부모관계(계부모),미혼자부모관계(실부계모),미혼자부모관계(실부무모),미혼자부모관계(실모계부),미혼자부모관계(실모무부),미혼자부모관계(계부무모),미혼자부모관계(계모무부),미혼자부모관계(무부모),미상
강력범죄,살인기수,236,69,6,78,122,18,59,12,45,0,1,11,0,18,0,0,24,79
강력범죄,살인미수등,384,135,5,62,175,27,115,20,105,0,2,7,1,37,0,0,35,62
강력범죄,강도,1412,412,20,155,325,38,166,13,843,3,19,101,14,186,3,5,128,155
강력범죄,강간,2325,1750,68,1478,964,90,451,43,1845,9,28,162,36,330,3,5,165,1490
강력범죄,유사강간,247,178,3,107,96,12,44,3,185,0,5,17,3,36,1,2,25,106
강력범죄,강제추행,6752,5597,249,1890,5021,223,1148,219,4201,17,35,290,25,843,2,12,549,1903
강력범죄,기타 강간 강제추행등,363,208,6,109,120,15,56,10,253,2,9,30,9,48,0,0,24,110
강력범죄,방화,1059,322,10,126,501,81,228,38,274,2,6,34,8,88,0,1,127,129
절도범죄,절도범죄,64243,29898,738,8287,25367,1397,8198,2524,39488,195,788,4592,570,6440,61,72,5134,8340
폭력범죄,상해,35833,20727,626,4873,27441,1848,6590,1337,13991,105,94,884,92,2778,14,38,1955,4892
폭력범죄,폭행,60979,35234,1141,94954,48750,4129,10104,1775,22485,145,145,1452,133,4198,18,31,3558,95385
폭력범죄,체포 감금,432,278,18,498,288,27,127,11,195,0,5,17,1,32,0,0,22,501
폭력범죄,협박,3494,2272,93,3338,2894,259,940,99,1067,7,9,59,9,275,0,6,224,3349
폭력범죄,약취 유인,116,42,5,89,56,3,24,3,54,0,2,6,1,5,0,0,10,88
폭력범죄,폭력행위등,39148,22299,504,11051,22686,1584,4987,714,24159,160,197,1581,196,3512,26,40,2072,11088
폭력범죄,공갈,1346,698,41,845,601,43,233,28,816,5,11,102,9,132,2,0,102,846
폭력범죄,손괴,17294,9434,383,4638,12099,905,3424,619,6765,45,40,422,55,1426,6,14,1274,4655
지능범죄,직무유기,28,136,4,692,157,1,1,0,11,0,0,0,0,0,0,0,1,689
지능범죄,직권남용,11,79,1,496,80,1,1,0,8,0,0,0,0,1,0,0,0,496
지능범죄,증수뢰,129,429,57,227,527,33,30,9,13,0,0,0,0,1,0,0,1,228
지능범죄,통화,81,23,0,182,28,3,5,2,45,1,2,3,0,12,0,0,3,182
지능범죄,문서 인장,5840,3848,166,9168,4404,175,1038,391,2904,14,28,230,26,434,8,9,187,9174
지능범죄,유가증권인지,105,55,6,233,96,5,26,7,25,0,0,1,1,1,0,0,4,233
지능범죄,사기,84091,28513,863,114738,45499,2398,16554,1908,32172,173,383,2967,335,6234,70,109,4404,114999
지능범죄,횡령,12564,7018,297,16066,9961,397,2366,440,4765,41,35,399,37,814,5,16,574,16095
지능범죄,배임,1225,1566,142,5300,2351,66,221,48,165,0,0,7,0,42,1,1,24,5307
풍속범죄,성풍속범죄,5961,4281,96,1579,2700,146,639,59,5214,14,21,313,34,845,3,6,349,1574
풍속범죄,도박범죄,18004,9212,215,1735,17249,465,3477,697,4021,22,6,166,10,731,1,1,579,1741
특별경제범죄,특별경제범죄,41581,18628,683,29464,28170,1014,7503,1125,15957,60,68,1024,97,3112,9,38,2638,29541
마약범죄,마약범죄,4508,1569,125,711,2328,251,1039,355,1440,12,11,86,19,409,2,7,235,719
보건범죄,보건범죄,9600,6847,1351,2923,11402,334,2477,678,2117,8,14,96,6,396,1,5,264,2923
환경범죄,환경범죄,1196,1378,185,417,2237,66,197,53,138,1,0,9,1,29,0,0,27,418
교통범죄,교통범죄,235633,149757,3165,160819,238439,4734,24391,4410,93927,550,271,3585,325,11737,97,331,5240,161337
노동범죄,노동범죄,1482,648,36,229,1439,28,234,30,320,1,3,16,0,71,0,1,22,230
안보범죄,안보범죄,70,71,3,30,55,7,10,0,48,0,1,5,0,8,0,0,10,30
선거범죄,선거범죄,269,552,92,208,830,23,21,23,7,0,0,0,0,5,0,0,2,210
병역범죄,병역범죄,12282,5104,71,784,1997,216,348,18,10880,50,139,1214,91,1740,20,35,707,786
기타범죄,기타범죄,108959,70794,3223,58771,96754,3431,20961,4466,41566,209,219,2607,228,7446,52,92,4857,58859
