"자치구","안심 주소","CCTV 용도","WGS x좌표","WGS y좌표","CCTV 수량","수정 일시"
"용산구","서울특별시 용산구 청파동3가 청파로43길 63 ","도심공원","37.543558","126.966096","2","2019-12-12"
"용산구","서울특별시 용산구 동빙고동 녹사평대로14길 39 ","","37.522714","126.995862","1","2019-12-12"
"용산구","서울특별시 용산구 보광동 보광로12가길 29 ","","37.528089","127.000957","1","2019-12-12"
"용산구","서울특별시 용산구 한남동 이태원로 222 ","","37.534481","126.999332","1","2019-12-12"
"용산구","서울특별시 용산구 후암동 두텁바위로38가길 11 ","","37.546944","126.983996","1","2019-12-12"
"용산구","서울특별시 용산구 이촌동 이촌로 310 래미안 첼리투스","도심공원","37.517434","126.981411","4","2019-12-12"
"용산구","서울특별시 용산구 이촌동 이촌로 208 농협","도심공원","37.520706","126.970645","1","2019-12-12"
"용산구","(이촌동 408 강변공원)","도심공원","37.521536","126.975222","1","2019-12-12"
"용산구","서울특별시 용산구 한강로3가 한강대로 35 교보생명(주)","도심공원","37.524167","126.963536","1","2019-12-12"
"용산구","서울특별시 용산구 한강로3가 한강대로 35 교보생명(주)","도심공원","37.524205","126.963461","2","2019-12-12"
"용산구","서울특별시 용산구 이촌동 이촌로14길 11 ","도심공원","37.526856","126.954504","2","2019-12-12"
"용산구","서울특별시 용산구 보광동 보광로 45 ","도심공원","37.528031","126.998009","2","2019-12-12"
"용산구","서울특별시 용산구 산천동 효창원로 6 ","도심공원","37.533638","126.951915","1","2019-12-12"
"용산구","서울특별시 용산구 용산동3가 이태원로2길 5 삼각지 경로당","도심공원","37.534293","126.975650","2","2019-12-12"
"용산구","서울특별시 용산구 신창동 원효로35길 40 ","도심공원","37.534791","126.95667539","2","2019-12-12"
"용산구","서울특별시 용산구 이태원동 녹사평대로40나길 38 ","도심공원","37.536002","126.989697","5","2019-12-12"
"용산구","서울특별시 용산구 한남동 이태원로 235 ","도심공원","37.536565","126.999530","1","2019-12-12"
"용산구","서울특별시 용산구 한남동 이태원로 235 ","도심공원","37.536631","126.999567","1","2019-12-12"
"용산구","서울특별시 용산구 문배동 백범로90길 32 ","도심공원","37.536743","126.969824","1","2019-12-12"
"용산구","서울특별시 용산구 신창동 효창원로23길 24 ","도심공원","37.537060","126.954373","1","2019-12-12"
"용산구","서울특별시 용산구 이태원동 녹사평대로40나길 62 ","도심공원","37.537975","126.989215","3","2019-12-12"
"용산구","서울특별시 용산구 이태원동 녹사평대로46길 59 ","도심공원","37.538209","126.989052","1","2019-12-12"
"용산구","서울특별시 용산구 원효로1가 백범로90라길 29 ","도심공원","37.538257","126.969565","1","2019-12-12"
"용산구","서울특별시 용산구 원효로1가 백범로90라길 29 ","도심공원","37.538298","126.969637","1","2019-12-12"
"용산구","서울특별시 용산구 원효로1가 백범로90라길 29 ","도심공원","37.538320","126.969517","1","2019-12-12"
