"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남산가든",1,,서울특별시 용산구 남영동 11-14,37.55340900,126.97409200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0001",1,,서울특별시 용산구 남영동 10-4,37.55315300,126.97404400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0002",1,,서울특별시 용산구 남영동 9-14,37.55302600,126.97401400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"카센터",1,,서울특별시 용산구 남영동 15-3,37.55282600,126.97397900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"서울성남교회",1,,서울특별시 용산구 남영동 17-8,37.55229400,126.97388100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"서울성남교회",1,,서울특별시 용산구 남영동 17-9,37.55229200,126.97369300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"서울성남교회",1,,서울특별시 용산구 남영동 17-23,37.55214100,126.97366700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"서울성남교회",1,,서울특별시 용산구 남영동 17-12,37.55224600,126.97358800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"서울성남교회",1,,서울특별시 용산구 남영동 17-24,37.55228800,126.97339200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"맞은편",1,,서울특별시 용산구 남영동 18-40,37.55205800,126.97398000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0003",1,,서울특별시 용산구 남영동 24-19,37.55031200,126.97310900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0004",1,,서울특별시 용산구 남영동 24-22,37.55326000,126.97420100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0005",1,,서울특별시 용산구 남영동 11-20,37.55325000,126.97458600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0006",1,,서울특별시 용산구 남영동 11-24,37.55324400,126.97501800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0007",1,,서울특별시 용산구 이태원제1동 44-64,37.53164400,126.99135900,2009,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0008",1,,서울특별시 용산구 원효로제1동 문배동30-7,37.53436800,126.96890500,2011,,02-2199-7880,서울특별시 용산구청,2021-09-27
"이태원랜드계단",1,,서울특별시 용산구 한남동 736-21,37.53450900,126.99730200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0009",1,,서울특별시 용산구 남영동 5-2,37.55324800,126.97525400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0010",1,,서울특별시 용산구 남영동 5-3,37.55314000,126.97593700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0011",1,,서울특별시 용산구 남영동 5-11,37.55303300,126.97584200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0012",1,,서울특별시 용산구 남영동 4-11,37.55292200,126.97569400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0013",1,,서울특별시 용산구 남영동 4-15,37.55279000,126.97544000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0014",1,,서울특별시 용산구 남영동 5-4,37.55309200,126.97524400,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0015",1,,서울특별시 용산구 남영동 9-7,37.55289400,126.97472900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0016",1,,서울특별시 용산구 남영동 9-22,37.55272000,126.97471500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0017",1,,서울특별시 용산구 남영동 8-3,37.55262700,126.97450900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0018",1,,서울특별시 용산구 남영동 17-29,37.55264000,126.97412500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"새꿈어린이집 입구",1,,서울특별시 용산구 남영동 24-11,37.55253700,126.97409500,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"앞",1,,서울특별시 용산구 남영동 35-144,37.55229600,126.97407900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0019",1,,서울특별시 용산구 남영동 35-143,37.55223800,126.97428300,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0020",1,,서울특별시 용산구 남영동 35-44,37.55224200,126.97440000,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0021",1,,서울특별시 용산구 남영동 19-70,37.55224500,126.97451900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"건물옆",1,,서울특별시 용산구 남영동 15-2,37.55285900,126.97421700,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0022",1,,서울특별시 용산구 남영동 9-13,37.55294900,126.97409200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0023",1,,서울특별시 용산구 남영동 10-5,37.55300600,126.97413800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0024",1,,서울특별시 용산구 남영동 10-6,37.55310800,126.97412800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0025",1,,서울특별시 용산구 남영동 9-9,37.55296300,126.97449100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0026",1,,서울특별시 용산구 남영동 10-10,37.55309200,126.97454800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0027",1,,서울특별시 용산구 남영동 2-3,37.55283700,126.97606900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0028",1,,서울특별시 용산구 남영동 4-11,37.55280800,126.97587200,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0029",1,,서울특별시 용산구 남영동 3-20,37.55246700,126.97528600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0030",1,,서울특별시 용산구 남영동 6-3,37.55275300,126.97505800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0031",1,,서울특별시 용산구 남영동 7-2,37.55257800,126.97491600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0032",1,,서울특별시 용산구 남영동 7-14,37.55243300,126.97451100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0033",1,,서울특별시 용산구 남영동 19-67,37.55204200,126.97465800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0034",1,,서울특별시 용산구 남영동 19-65,37.55191500,126.97473900,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0035",1,,서울특별시 용산구 남영동 19-87,37.55186700,126.97484600,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0036",1,,서울특별시 용산구 남영동 19-63,37.55174900,126.97486100,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
"보안등0037",1,,서울특별시 용산구 남영동 19-105,37.55178700,126.97510800,2012,,02-2199-7880,서울특별시 용산구청,2021-09-27
